session_id,user_id,timestamp,device_type,action,price,product_category,purchase
1,103,2023-07-23 01:13:46,Desktop,click,1843.7,books,0
2,436,2023-09-21 07:40:06,Desktop,browse,1957.23,electronics,0
3,271,2023-11-24 13:17:12,Desktop,browse,31.23,electronics,0
4,107,2023-06-27 07:49:11,Mobile,browse,1249.26,home,0
5,72,2023-12-14 22:01:43,Desktop,click,831.55,electronics,0
6,701,2023-11-14 03:08:28,Mobile,click,1721.11,home,0
7,21,2023-03-25 17:22:02,Tablet,click,511.11,books,1
8,615,2023-11-14 12:41:11,Desktop,click,1962.25,books,0
9,122,2023-04-21 00:36:44,Desktop,add_to_cart,1231.28,home,0
10,467,2023-09-08 08:38:51,Desktop,browse,1589.14,electronics,0
11,215,2023-01-07 14:33:48,Desktop,browse,180.34,books,0
12,331,2023-03-25 09:24:30,Mobile,add_to_cart,375.08,fashion,1
13,459,2023-07-27 13:37:47,Desktop,browse,1519.22,home,0
14,88,2023-11-10 16:16:25,Desktop,purchase,53.75,books,1
15,373,2023-01-22 06:00:07,Mobile,add_to_cart,1635.59,books,0
16,100,2023-01-03 06:56:08,Desktop,click,37.76,books,0
17,664,2023-05-07 03:18:28,Mobile,purchase,1317.67,fashion,1
18,131,2023-10-24 07:20:23,Desktop,browse,736.54,fashion,0
19,662,2023-07-07 20:45:07,Mobile,browse,1226.87,fashion,0
20,309,2023-12-28 21:44:17,Tablet,click,1395.1,electronics,0
21,770,2023-01-14 17:00:15,Mobile,browse,691.53,home,0
22,344,2023-01-12 15:30:35,Tablet,purchase,224.85,electronics,1
23,492,2023-03-28 13:43:49,Desktop,browse,148.6,fashion,0
24,414,2023-01-12 22:49:12,Desktop,click,1181.98,home,1
25,386,2023-01-25 10:40:58,Mobile,click,1046.1,electronics,1
26,192,2023-10-28 12:49:29,Mobile,click,1486.98,electronics,0
27,277,2023-08-31 02:07:39,Desktop,browse,1024.37,electronics,0
28,161,2023-05-02 16:50:14,Desktop,browse,850.67,fashion,0
29,460,2023-05-27 21:27:20,Desktop,add_to_cart,802.19,books,1
30,314,2023-02-24 09:06:33,Desktop,browse,62.63,home,0
31,22,2023-08-26 12:54:33,Desktop,add_to_cart,677.76,fashion,0
32,253,2023-12-22 15:29:11,Mobile,click,1952.28,home,0
33,748,2023-06-22 21:55:15,Desktop,add_to_cart,1748.38,fashion,0
34,561,2023-08-09 15:04:14,Desktop,add_to_cart,665.46,electronics,1
35,475,2023-04-29 01:56:46,Mobile,browse,1179.71,electronics,0
36,59,2023-11-05 20:36:58,Mobile,click,1696.12,books,0
37,511,2023-07-02 18:09:04,Mobile,add_to_cart,888.14,books,1
38,682,2023-10-15 09:24:00,Mobile,click,45.74,home,0
39,476,2023-11-03 09:00:30,Desktop,purchase,158.28,books,1
40,700,2023-10-27 06:24:51,Mobile,click,1025.68,books,0
41,783,2023-03-23 09:09:43,Mobile,browse,1939.18,home,0
42,190,2023-07-30 06:39:49,Desktop,browse,1389.49,fashion,0
43,687,2023-05-30 20:57:31,Mobile,purchase,151.12,books,1
44,563,2023-02-06 05:16:30,Tablet,browse,386.83,fashion,0
45,567,2023-12-18 22:19:20,Desktop,add_to_cart,1544.93,electronics,0
46,244,2023-11-08 10:01:21,Desktop,add_to_cart,1684.47,books,0
47,505,2023-12-27 03:03:53,Desktop,browse,1239.21,electronics,0
48,131,2023-02-28 04:30:41,Desktop,browse,1292.4,electronics,0
49,485,2023-05-11 01:38:59,Desktop,add_to_cart,66.39,fashion,0
50,647,2023-07-21 13:12:42,Mobile,browse,1658.78,home,1
51,21,2023-08-31 09:44:23,Desktop,add_to_cart,1578.67,books,1
52,167,2023-02-04 21:18:41,Tablet,click,525.48,fashion,0
53,274,2023-04-03 07:30:45,Mobile,click,1420.27,home,1
54,388,2023-07-26 12:26:09,Mobile,add_to_cart,437.56,electronics,0
55,601,2023-12-19 13:05:18,Mobile,browse,90.26,books,0
56,316,2023-11-28 23:31:43,Desktop,click,410.26,electronics,0
57,14,2023-11-01 06:00:25,Desktop,browse,365.47,electronics,0
58,242,2023-12-16 07:31:16,Mobile,browse,682.12,books,0
59,777,2023-08-01 18:00:05,Mobile,click,842.71,home,1
60,346,2023-06-08 12:23:25,Mobile,add_to_cart,1021.99,home,1
61,565,2023-01-24 23:29:25,Desktop,browse,958.74,books,0
62,340,2023-10-20 10:52:01,Tablet,click,548.64,books,0
63,92,2023-01-04 18:05:01,Desktop,click,68.05,fashion,1
64,367,2023-08-08 08:43:53,Mobile,browse,1214.15,fashion,0
65,455,2023-12-30 12:01:49,Tablet,browse,797.53,electronics,0
66,428,2023-01-20 18:44:28,Desktop,purchase,604.36,books,1
67,509,2023-06-01 12:17:34,Mobile,add_to_cart,1735.21,home,1
68,776,2023-02-19 18:41:33,Desktop,click,1496.02,electronics,0
69,35,2023-06-26 10:30:53,Desktop,click,1716.95,electronics,0
70,206,2023-04-06 10:40:05,Mobile,browse,995.02,electronics,0
71,81,2023-04-15 18:30:52,Mobile,click,270.55,electronics,0
72,562,2023-09-07 12:05:27,Tablet,click,1395.48,home,0
73,388,2023-04-27 21:27:07,Mobile,click,420.09,electronics,0
74,2,2023-12-20 00:08:12,Desktop,browse,888.05,books,0
75,390,2023-08-16 02:26:51,Mobile,browse,139.35,fashion,0
76,566,2023-03-07 06:44:32,Tablet,browse,1652.36,home,0
77,106,2023-12-01 20:00:10,Desktop,purchase,260.62,books,1
78,772,2023-09-19 13:05:53,Tablet,click,1807.16,books,0
79,477,2023-10-22 15:01:50,Desktop,click,1729.82,books,0
80,703,2023-08-31 03:52:59,Mobile,browse,934.52,fashion,0
81,402,2023-07-05 07:52:08,Desktop,browse,1491.29,fashion,1
82,730,2023-09-03 03:34:27,Desktop,add_to_cart,1242.7,fashion,0
83,556,2023-05-05 16:27:14,Desktop,click,1608.12,books,0
84,162,2023-09-25 07:10:51,Mobile,click,869.29,fashion,0
85,202,2023-05-11 08:41:19,Desktop,browse,1573.76,electronics,0
86,270,2023-08-25 20:23:22,Desktop,add_to_cart,930.29,fashion,0
87,271,2023-01-18 04:17:29,Mobile,browse,1882.52,home,1
88,456,2023-02-09 21:10:21,Tablet,browse,977.88,books,0
89,462,2023-01-21 01:30:51,Desktop,click,930.61,books,1
90,727,2023-08-13 11:28:36,Desktop,browse,1572.29,electronics,0
91,252,2023-12-21 17:31:04,Desktop,browse,1644.94,fashion,0
92,702,2023-10-09 17:42:41,Desktop,click,1113.43,fashion,0
93,296,2023-01-08 10:47:50,Mobile,click,367.8,home,0
94,725,2023-04-10 08:34:33,Mobile,add_to_cart,940.84,electronics,1
95,720,2023-08-28 16:17:07,Mobile,click,1936.46,home,0
96,749,2023-03-28 18:22:35,Desktop,browse,1508.44,home,0
97,338,2023-10-25 07:02:52,Mobile,browse,1624.21,books,0
98,53,2023-01-14 01:00:42,Mobile,purchase,75.32,books,1
99,792,2023-11-30 07:46:41,Mobile,click,941.04,fashion,0
100,217,2023-01-02 09:27:44,Mobile,add_to_cart,1296.78,fashion,1
101,764,2023-10-20 03:55:22,Mobile,browse,1661.77,home,0
102,188,2023-11-21 06:53:40,Mobile,click,108.05,fashion,0
103,380,2023-02-10 19:00:31,Desktop,browse,1706.35,home,0
104,493,2023-11-14 15:29:05,Tablet,click,1101.32,fashion,0
105,41,2023-11-12 13:54:41,Mobile,purchase,402.65,fashion,1
106,157,2023-04-21 19:41:42,Mobile,purchase,641.34,books,1
107,15,2023-01-14 02:25:11,Desktop,click,571.04,books,0
108,65,2023-08-19 23:38:52,Mobile,click,1066.41,books,1
109,521,2023-03-25 05:13:13,Mobile,purchase,112.85,books,1
110,344,2023-05-10 02:16:39,Desktop,click,325.49,electronics,0
111,129,2023-08-19 21:10:53,Desktop,browse,1627.26,books,0
112,648,2023-11-22 10:03:11,Mobile,click,273.88,electronics,0
113,472,2023-05-25 02:50:11,Mobile,browse,474.46,books,1
114,63,2023-12-11 17:31:09,Mobile,click,912.21,fashion,0
115,139,2023-01-28 15:45:46,Desktop,click,1039.07,home,0
116,499,2023-03-07 05:59:02,Mobile,click,1529.58,fashion,0
117,593,2023-06-12 08:41:52,Desktop,browse,900.19,fashion,0
118,392,2023-08-17 12:34:02,Desktop,browse,1581.83,electronics,0
119,675,2023-09-18 15:23:08,Desktop,click,1240.51,books,0
120,419,2023-06-13 07:41:31,Desktop,add_to_cart,235.07,home,0
121,289,2023-10-28 21:39:20,Desktop,click,321.1,home,0
122,379,2023-10-30 23:26:28,Desktop,browse,879.7,books,0
123,773,2023-10-14 06:16:41,Desktop,purchase,799.81,electronics,1
124,490,2023-01-10 05:00:20,Desktop,purchase,1489.65,electronics,1
125,231,2023-07-14 02:15:55,Mobile,browse,1165.67,electronics,0
126,41,2023-04-28 19:11:59,Desktop,browse,782.38,home,0
127,28,2023-09-27 22:30:51,Desktop,add_to_cart,349.81,electronics,1
128,135,2023-03-21 10:12:57,Mobile,add_to_cart,461.41,electronics,1
129,201,2023-04-03 05:28:30,Desktop,purchase,1155.25,home,1
130,780,2023-09-23 06:48:52,Mobile,add_to_cart,852.64,home,0
131,33,2023-11-28 05:10:01,Desktop,click,1034.71,fashion,0
132,48,2023-12-16 17:33:47,Desktop,click,349.65,home,0
133,503,2023-12-27 01:22:47,Mobile,browse,1329.18,books,0
134,407,2023-09-14 23:24:49,Mobile,browse,1706.55,home,0
135,574,2023-05-13 05:33:42,Mobile,click,523.3,home,0
136,728,2023-10-03 12:04:23,Mobile,click,988.11,electronics,0
137,99,2023-09-21 20:44:31,Tablet,click,1951.3,fashion,0
138,684,2023-06-20 01:35:22,Desktop,add_to_cart,673.15,electronics,0
139,726,2023-01-01 07:36:53,Desktop,browse,1194.14,fashion,0
140,547,2023-11-09 22:30:50,Desktop,click,189.49,electronics,0
141,739,2023-03-05 23:51:07,Desktop,browse,1215.97,books,0
142,613,2023-10-11 23:13:16,Mobile,click,188.37,electronics,0
143,462,2023-05-01 18:32:12,Mobile,add_to_cart,1918.88,electronics,1
144,643,2023-04-17 03:24:57,Desktop,click,1434.17,books,0
145,769,2023-06-24 18:58:43,Tablet,purchase,1578.44,books,1
146,5,2023-07-23 06:36:56,Mobile,browse,1411.17,home,0
147,218,2023-06-14 11:18:15,Desktop,click,1183.56,electronics,0
148,503,2023-11-01 05:28:22,Desktop,browse,905.33,books,0
149,767,2023-04-30 07:00:42,Desktop,click,1718.16,books,0
150,398,2023-02-13 15:30:41,Desktop,add_to_cart,1914.1,home,1
151,795,2023-11-08 18:48:32,Desktop,click,1003.08,fashion,0
152,393,2023-06-05 23:47:43,Mobile,add_to_cart,1863.75,books,1
153,207,2023-07-26 14:52:54,Desktop,browse,1170.83,books,0
154,15,2023-04-18 23:49:04,Desktop,add_to_cart,1081.38,electronics,0
