order_id,customer_id,order_date,product_id,quantity,price,category
ORD000001,CUST126,2022-06-19,PROD5,4,305.76,Clothing
ORD000002,CUST44,2023-03-15,PROD66,8,13.85,Health & Beauty
ORD000003,CUST199,2022-12-03,PROD8,9,372.73,Home & Garden
ORD000004,CUST100,2022-11-28,PROD75,2,119.4,Clothing
ORD000005,CUST114,2024-08-31,PROD51,5,154.89,Groceries
ORD000006,CUST86,2024-04-04,PROD61,3,374.52,Clothing
ORD000007,CUST85,2022-07-05,PROD24,9,244.88,Clothing
ORD000008,CUST44,2024-05-26,PROD42,9,422.25,Clothing
ORD000009,CUST95,2023-05-08,PROD80,4,280.82,Electronics
ORD000010,CUST99,2024-03-28,PROD94,9,39.14,Electronics
ORD000011,CUST193,2022-01-09,PROD91,6,325.41,Health & Beauty
ORD000012,CUST14,2022-09-29,PROD54,8,289.69,Health & Beauty
ORD000013,CUST96,2024-01-23,PROD87,3,109.81,Electronics
ORD000014,CUST128,2023-05-16,PROD16,3,473.9,Home & Garden
ORD000015,CUST22,2024-03-11,PROD69,4,432.0,Health & Beauty
ORD000016,CUST157,2022-07-16,PROD43,3,171.54,Groceries
ORD000017,CUST87,2024-07-11,PROD59,3,220.61,Clothing
ORD000018,CUST197,2023-01-24,PROD42,1,324.39,Electronics
ORD000019,CUST81,2022-01-15,PROD73,6,139.42,Groceries
ORD000020,CUST192,2022-07-28,PROD26,2,273.23,Clothing
ORD000021,CUST84,2022-07-31,PROD94,1,51.31,Groceries
ORD000022,CUST88,2022-11-09,PROD100,3,100.95,Clothing
ORD000023,CUST140,2024-06-08,PROD70,4,148.63,Groceries
ORD000024,CUST135,2024-02-16,PROD22,1,99.59,Home & Garden
ORD000025,CUST178,2024-09-28,PROD75,2,152.05,Health & Beauty
ORD000026,CUST54,2024-04-15,PROD91,6,257.7,Health & Beauty
ORD000027,CUST177,2024-03-15,PROD43,2,262.37,Groceries
ORD000028,CUST142,2024-08-23,PROD90,6,270.09,Health & Beauty
ORD000029,CUST157,2022-06-29,PROD42,6,355.31,Home & Garden
ORD000030,CUST67,2023-04-11,PROD99,1,205.02,Health & Beauty
ORD000031,CUST75,2023-11-11,PROD24,8,421.77,Clothing
ORD000032,CUST34,2024-05-06,PROD95,7,207.1,Electronics
ORD000033,CUST169,2023-12-23,PROD66,8,442.87,Groceries
ORD000034,CUST157,2022-09-14,PROD18,2,278.29,Health & Beauty
ORD000035,CUST42,2022-12-06,PROD77,3,268.34,Groceries
ORD000036,CUST36,2024-03-05,PROD13,4,223.71,Groceries
ORD000037,CUST106,2024-04-16,PROD54,7,450.91,Home & Garden
ORD000038,CUST91,2022-01-03,PROD93,7,178.34,Home & Garden
ORD000039,CUST96,2022-03-19,PROD86,7,274.64,Clothing
ORD000040,CUST7,2023-02-09,PROD12,9,301.45,Clothing
ORD000041,CUST143,2024-06-01,PROD85,3,131.59,Electronics
ORD000042,CUST137,2022-03-04,PROD80,9,313.95,Health & Beauty
ORD000043,CUST149,2024-06-25,PROD77,5,70.73,Groceries
ORD000044,CUST74,2024-09-20,PROD58,7,338.95,Home & Garden
ORD000045,CUST67,2024-08-12,PROD38,9,84.22,Electronics
ORD000046,CUST103,2023-06-30,PROD63,9,393.12,Electronics
ORD000047,CUST44,2023-05-12,PROD48,2,295.66,Clothing
ORD000048,CUST15,2023-05-22,PROD20,9,221.22,Home & Garden
ORD000049,CUST39,2023-11-03,PROD40,6,185.37,Electronics
ORD000050,CUST29,2024-04-11,PROD18,2,371.89,Groceries
ORD000051,CUST123,2022-03-23,PROD21,9,247.22,Groceries
ORD000052,CUST77,2023-05-12,PROD36,9,168.08,Groceries
ORD000053,CUST32,2022-01-14,PROD82,6,10.88,Electronics
ORD000054,CUST74,2024-06-15,PROD4,7,482.44,Electronics
ORD000055,CUST170,2022-04-07,PROD38,8,205.9,Health & Beauty
ORD000056,CUST41,2023-09-05,PROD32,1,402.33,Groceries
ORD000057,CUST4,2023-12-05,PROD61,7,307.55,Home & Garden
ORD000058,CUST96,2023-09-30,PROD48,1,86.32,Clothing
ORD000059,CUST8,2023-05-15,PROD5,7,314.57,Clothing
ORD000060,CUST94,2023-09-14,PROD97,7,116.84,Electronics
ORD000061,CUST199,2023-05-02,PROD43,3,110.47,Electronics
ORD000062,CUST33,2022-09-22,PROD15,3,228.32,Electronics
ORD000063,CUST140,2024-01-29,PROD38,8,480.17,Clothing
ORD000064,CUST34,2024-03-18,PROD39,2,17.45,Home & Garden
ORD000065,CUST85,2023-08-21,PROD57,1,121.39,Home & Garden
ORD000066,CUST115,2023-09-16,PROD81,8,450.53,Health & Beauty
